zone,lat,lng,final_risk_score,road_risk_score,confidence_score,uncertainty_level,risk_band
CENTRAL BANGALORE,12.96985,77.60856,46.58,0.6401,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969839,77.60878,46.57,0.6078,0.8518,0.1251,Moderate
SOUTH BANGALORE,12.942837,77.608765,46.56,0.6214,0.6401,0.4557,Moderate
WEST BANGALORE,13.005002,77.56997,46.55,0.5039,0.5329,0.6151,Moderate
CENTRAL BANGALORE,12.969266,77.60787,46.55,0.5589,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.991007,77.612114,46.54,0.6687,0.6368,0.4788,Moderate
SOUTHEAST / IT CORRIDOR,12.904016,77.67411,46.53,0.6401,0.5408,0.6151,Moderate
EAST BANGALORE,12.953144,77.695335,46.48,0.5994,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.968906,77.60712,46.48,0.5804,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968551,77.60735,46.48,0.6048,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969309,77.60674,46.46,0.5213,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969028,77.606834,46.41,0.5698,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.916935,77.61741,46.31,0.5785,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.968359,77.60736,46.24,0.5636,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.96748,77.60717,46.22,0.6,0.8356,0.1538,Moderate
WEST BANGALORE,13.000124,77.569565,46.19,0.4282,0.5823,0.5556,Moderate
SOUTHEAST / IT CORRIDOR,12.915458,77.61673,46.19,0.6236,0.5841,0.5556,Moderate
EAST BANGALORE,12.973487,77.63444,46.19,0.5585,0.8188,0.1835,Moderate
CENTRAL BANGALORE,12.956909,77.58917,46.19,0.6144,0.5408,0.6151,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.969661,77.57242,46.11,0.4708,0.6005,0.5286,Moderate
CENTRAL BANGALORE,12.966769,77.6077,46.11,0.6267,0.8188,0.1835,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.961517,77.584076,46.08,0.5496,0.5319,0.6151,Moderate
NORTH BANGALORE,13.035593,77.596954,46.07,0.4662,0.6775,0.4121,Moderate
CENTRAL BANGALORE,12.970281,77.60911,46.05,0.6323,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.967299,77.60803,46.04,0.6247,0.8356,0.1538,Moderate
SOUTH BANGALORE,12.916361,77.614624,45.99,0.3906,0.5809,0.5556,Moderate
EAST BANGALORE,12.95513,77.69687,45.92,0.5567,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.969252,77.607185,45.91,0.5612,0.8518,0.1251,Moderate
EAST BANGALORE,12.974037,77.63857,45.82,0.4709,0.8356,0.1538,Moderate
SOUTH BANGALORE,12.943987,77.608765,45.76,0.5892,0.6128,0.5031,Moderate
CENTRAL BANGALORE,12.969132,77.60991,45.67,0.5907,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.961869,77.56629,45.66,0.6269,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.993907,77.59161,45.61,0.6342,0.5408,0.6151,Moderate
SOUTH BANGALORE,12.936839,77.60152,45.58,0.5606,0.6161,0.5031,Moderate
CENTRAL BANGALORE,12.969491,77.60812,45.47,0.5752,0.8518,0.1251,Moderate
NORTH BANGALORE,13.005413,77.575775,45.46,0.5247,0.5819,0.5556,Moderate
CENTRAL BANGALORE,12.990075,77.59759,45.32,0.6294,0.5635,0.5843,Moderate
EAST BANGALORE,12.970555,77.641914,45.3,0.5737,0.73,0.3333,Moderate
CENTRAL BANGALORE,12.962754,77.603516,45.25,0.5668,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.968856,77.608246,45.23,0.5957,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.981296,77.597824,45.13,0.6833,0.5635,0.5843,Moderate
WEST BANGALORE,12.999251,77.57702,45.11,0.4934,0.5805,0.5556,Moderate
CENTRAL BANGALORE,12.973215,77.605286,45.0,0.6102,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.967512,77.60501,44.99,0.635,0.8188,0.1835,Moderate
CENTRAL BANGALORE,12.9716,77.5946,44.94,0.5795,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.96961,77.60862,44.94,0.544,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.96955,77.60762,44.89,0.612,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969459,77.60644,44.86,0.5425,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968906,77.60712,44.86,0.5435,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968551,77.60735,44.86,0.5541,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968649,77.60657,44.83,0.6133,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.968194,77.637375,44.78,0.5439,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.967512,77.60501,44.76,0.5399,0.8188,0.1835,Moderate
EAST BANGALORE,12.966834,77.64095,44.74,0.6594,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.968518,77.60752,44.73,0.5934,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.914096,77.63557,44.67,0.5473,0.6029,0.5286,Moderate
SOUTH BANGALORE,12.943638,77.5794,44.63,0.5142,0.5841,0.5556,Moderate
SOUTHEAST / IT CORRIDOR,12.920756,77.675766,44.51,0.6136,0.5408,0.6151,Moderate
SOUTHEAST / IT CORRIDOR,12.912839,77.60422,44.38,0.5497,0.5635,0.5843,Moderate
SOUTH BANGALORE,12.868601,77.594696,44.37,0.6311,0.6668,0.4334,Moderate
CENTRAL BANGALORE,12.96709,77.60542,44.37,0.6119,0.8188,0.1835,Moderate
SOUTH BANGALORE,12.921133,77.58153,44.35,0.5034,0.6641,0.4334,Moderate
EAST BANGALORE,12.976049,77.639656,44.35,0.4614,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.958665,77.5788,44.34,0.5825,0.6668,0.4334,Moderate
NORTH BANGALORE,13.029215,77.59798,44.26,0.4292,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.967925,77.60847,44.25,0.5924,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.97041,77.599236,44.14,0.593,0.7412,0.3151,Moderate
SOUTH BANGALORE,12.905494,77.58072,44.07,0.5498,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.967371,77.605576,44.05,0.5995,0.8188,0.1835,Moderate
EAST BANGALORE,12.962372,77.70109,44.04,0.4886,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.964945,77.60594,44.03,0.5903,0.7412,0.3151,Moderate
CENTRAL BANGALORE,12.969642,77.6084,43.98,0.5817,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.97356,77.607735,43.97,0.6313,0.8518,0.1251,Moderate
WEST BANGALORE,12.999182,77.56638,43.94,0.4764,0.5408,0.6151,Moderate
SOUTH BANGALORE,12.933146,77.6105,43.83,0.5276,0.7007,0.3715,Moderate
EAST BANGALORE,12.973039,77.63552,43.83,0.5443,0.8188,0.1835,Moderate
CENTRAL BANGALORE,12.971739,77.57704,43.83,0.5207,0.6368,0.4788,Moderate
NORTH BANGALORE,13.037622,77.596466,43.82,0.5051,0.6762,0.4121,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,13.01402,77.565735,43.8,0.531,0.5606,0.5843,Moderate
EAST BANGALORE,12.949086,77.70209,43.8,0.5435,0.6938,0.3914,Moderate
CENTRAL BANGALORE,12.965137,77.603165,43.72,0.5949,0.7184,0.3521,Moderate
CENTRAL BANGALORE,12.973704,77.60681,43.7,0.6415,0.8892,0.0572,Moderate
CENTRAL BANGALORE,12.967504,77.608696,43.68,0.5729,0.8356,0.1538,Moderate
NORTH BANGALORE,13.075964,77.5914,43.67,0.5137,0.5384,0.6151,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.968057,77.57247,43.67,0.4848,0.6029,0.5286,Moderate
SOUTHEAST / IT CORRIDOR,12.923912,77.61736,43.65,0.5566,0.6806,0.4121,Moderate
CENTRAL BANGALORE,12.968612,77.60625,43.64,0.5592,0.8356,0.1538,Moderate
EAST BANGALORE,12.949783,77.70479,43.57,0.5528,0.6938,0.3914,Moderate
CENTRAL BANGALORE,12.997058,77.58567,43.55,0.595,0.5408,0.6151,Moderate
EAST BANGALORE,12.96841,77.64273,43.55,0.555,0.6806,0.4121,Moderate
CENTRAL BANGALORE,12.972383,77.60552,43.55,0.5801,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968511,77.60697,43.49,0.5659,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.967371,77.605576,43.48,0.5526,0.8188,0.1835,Moderate
EAST BANGALORE,12.959784,77.71712,43.47,0.5394,0.5408,0.6151,Moderate
EAST BANGALORE,12.972194,77.63712,43.47,0.4952,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.992542,77.59337,43.46,0.6169,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.970611,77.608475,43.46,0.5518,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969459,77.60644,43.46,0.5481,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.918137,77.63396,43.45,0.5392,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.973312,77.631325,43.43,0.5853,0.6368,0.4788,Moderate
SOUTHEAST / IT CORRIDOR,12.940116,77.62699,43.42,0.6031,0.5155,0.6486,Moderate
EAST BANGALORE,12.980207,77.647354,43.41,0.5773,0.6938,0.3914,Moderate
CENTRAL BANGALORE,12.968859,77.60729,43.36,0.5419,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969252,77.607185,43.36,0.5171,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.909353,77.63195,43.35,0.6354,0.5155,0.6486,Moderate
EAST BANGALORE,12.949808,77.702034,43.3,0.5599,0.6938,0.3914,Moderate
CENTRAL BANGALORE,12.969629,77.607346,43.28,0.5408,0.8518,0.1251,Moderate
EAST BANGALORE,12.955651,77.72094,43.27,0.5468,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.951535,77.57042,43.24,0.645,0.5408,0.6151,Moderate
WEST BANGALORE,12.969926,77.565674,43.24,0.4566,0.5155,0.6486,Moderate
CENTRAL BANGALORE,12.977889,77.63006,43.23,0.6087,0.6938,0.3914,Moderate
CENTRAL BANGALORE,12.973128,77.60602,43.19,0.5682,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.952915,77.59479,43.16,0.6106,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.991007,77.612114,43.13,0.6223,0.6368,0.4788,Moderate
CENTRAL BANGALORE,12.961162,77.582634,43.13,0.5965,0.6368,0.4788,Moderate
EAST BANGALORE,12.973492,77.64619,43.08,0.6032,0.73,0.3333,Moderate
CENTRAL BANGALORE,12.971947,77.60479,43.05,0.5797,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968859,77.60729,43.04,0.5305,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.959802,77.58546,43.03,0.6316,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.96919,77.595924,43.0,0.5703,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.964548,77.56401,43.0,0.5823,0.5155,0.6486,Moderate
CENTRAL BANGALORE,12.964751,77.604004,42.99,0.5926,0.7184,0.3521,Moderate
WEST BANGALORE,13.012479,77.55432,42.97,0.4987,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.967691,77.60592,42.94,0.6233,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.985242,77.59998,42.88,0.6096,0.6368,0.4788,Moderate
SOUTHEAST / IT CORRIDOR,12.92338,77.668144,42.88,0.5865,0.5841,0.5556,Moderate
EAST BANGALORE,12.967677,77.63788,42.87,0.5993,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.964474,77.58321,42.87,0.587,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.959975,77.59794,42.86,0.6206,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.966747,77.60453,42.83,0.6067,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.968163,77.60858,42.7,0.5892,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.96824,77.60803,42.69,0.6392,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.96845,77.60769,42.66,0.5858,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.957498,77.58437,42.62,0.5947,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.969333,77.60804,42.61,0.5117,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.949894,77.57408,42.59,0.6206,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.955753,77.58809,42.54,0.6383,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.968831,77.60847,42.53,0.5949,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.9696,77.60668,42.48,0.5056,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969172,77.60752,42.42,0.507,0.8518,0.1251,Moderate
WEST BANGALORE,12.97362,77.57392,42.4,0.5237,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.957298,77.584305,42.38,0.5747,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.972474,77.60912,42.38,0.6594,0.8188,0.1835,Moderate
CENTRAL BANGALORE,12.955158,77.57891,42.37,0.643,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.969629,77.607346,42.36,0.4984,0.8518,0.1251,Moderate
EAST BANGALORE,12.971847,77.635,42.35,0.506,0.7412,0.3151,Moderate
CENTRAL BANGALORE,12.957838,77.587944,42.35,0.6446,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.95684,77.58702,42.29,0.6327,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.97554,77.600746,42.28,0.6253,0.81,0.1988,Moderate
CENTRAL BANGALORE,12.993105,77.59193,42.24,0.6528,0.5408,0.6151,Moderate
WEST BANGALORE,12.980395,77.55446,42.2,0.5191,0.5338,0.6151,Moderate
SOUTHEAST / IT CORRIDOR,12.923204,77.618034,42.2,0.5425,0.6522,0.4557,Moderate
CENTRAL BANGALORE,12.973339,77.60838,42.17,0.6013,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.967656,77.61061,42.17,0.5641,0.7624,0.2799,Moderate
CENTRAL BANGALORE,12.97197,77.61421,42.16,0.6338,0.7624,0.2799,Moderate
CENTRAL BANGALORE,12.973215,77.605286,42.14,0.6396,0.8518,0.1251,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,13.008738,77.56699,42.13,0.4824,0.5597,0.5843,Moderate
NORTH BANGALORE,12.950484,77.592186,42.11,0.4978,0.6026,0.5286,Moderate
SOUTH BANGALORE,12.868706,77.61307,42.11,0.6012,0.5045,0.6486,Moderate
SOUTH BANGALORE,12.943639,77.57753,42.1,0.5826,0.6205,0.5031,Moderate
CENTRAL BANGALORE,12.957025,77.5905,42.08,0.6348,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.958181,77.58752,42.08,0.6223,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.974307,77.59678,42.08,0.6105,0.6368,0.4788,Moderate
EAST BANGALORE,12.979662,77.64686,42.06,0.5781,0.7412,0.3151,Moderate
CENTRAL BANGALORE,12.967981,77.60634,42.06,0.5627,0.8356,0.1538,Moderate
EAST BANGALORE,12.960423,77.71716,41.98,0.544,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.967299,77.60803,41.96,0.6064,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.957005,77.58971,41.96,0.6187,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.964387,77.612045,41.94,0.6413,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.967031,77.60663,41.92,0.5793,0.8188,0.1835,Moderate
SOUTHEAST / IT CORRIDOR,12.910542,77.62786,41.9,0.5468,0.5593,0.5843,Moderate
SOUTH BANGALORE,12.942841,77.57691,41.9,0.5822,0.6668,0.4334,Moderate
CENTRAL BANGALORE,12.969765,77.609215,41.89,0.6028,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.969183,77.606514,41.88,0.5487,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.965079,77.60632,41.87,0.5802,0.7823,0.2464,Moderate
CENTRAL BANGALORE,12.970219,77.60357,41.85,0.5575,0.8356,0.1538,Moderate
EAST BANGALORE,12.977393,77.63592,41.78,0.4531,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.970485,77.61414,41.74,0.5767,0.7823,0.2464,Moderate
CENTRAL BANGALORE,12.966161,77.579384,41.68,0.5355,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.993663,77.5929,41.62,0.6106,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.973128,77.60602,41.62,0.549,0.8518,0.1251,Moderate
EAST BANGALORE,12.976605,77.6373,41.57,0.5232,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.964751,77.604004,41.54,0.589,0.7184,0.3521,Moderate
CENTRAL BANGALORE,12.95906,77.57633,41.5,0.6539,0.6668,0.4334,Moderate
NORTH BANGALORE,13.045705,77.62694,41.5,0.5478,0.5772,0.5556,Moderate
SOUTH BANGALORE,12.865591,77.592674,41.49,0.6239,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.97213,77.607056,41.49,0.6092,0.8518,0.1251,Moderate
EAST BANGALORE,12.969386,77.63681,41.44,0.5782,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.994163,77.59295,41.43,0.6252,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.970992,77.58068,41.41,0.5489,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.968773,77.60271,41.4,0.5623,0.8188,0.1835,Moderate
CENTRAL BANGALORE,12.964458,77.60572,41.39,0.593,0.7412,0.3151,Moderate
SOUTH BANGALORE,12.945686,77.57327,41.38,0.6292,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.968897,77.61036,41.38,0.5817,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.971042,77.61552,41.37,0.6583,0.7412,0.3151,Moderate
SOUTHEAST / IT CORRIDOR,12.902022,77.67732,41.34,0.6204,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.959703,77.58363,41.33,0.5945,0.5408,0.6151,Moderate
CENTRAL BANGALORE,13.049143,77.629166,41.29,0.5173,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.968349,77.60606,41.26,0.5834,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.978558,77.63142,41.25,0.5363,0.7184,0.3521,Moderate
CENTRAL BANGALORE,12.969456,77.608246,41.25,0.5569,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.972289,77.60071,41.25,0.6034,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.966568,77.60136,41.21,0.516,0.6668,0.4334,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.970195,77.57351,41.2,0.4745,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.965219,77.60621,41.18,0.6109,0.7823,0.2464,Moderate
CENTRAL BANGALORE,12.971377,77.60702,41.17,0.55,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.978889,77.62988,41.15,0.5322,0.6938,0.3914,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.970342,77.576805,41.13,0.475,0.6368,0.4788,Moderate
SOUTH BANGALORE,12.933944,77.57823,41.13,0.5823,0.7064,0.3715,Moderate
EAST BANGALORE,12.972601,77.639336,41.12,0.5208,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.960382,77.59762,41.11,0.6187,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.992757,77.59234,41.07,0.591,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.968831,77.60847,41.06,0.5721,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.965425,77.61309,40.99,0.6728,0.5408,0.6151,Moderate
SOUTH BANGALORE,12.949495,77.59618,40.99,0.5992,0.5635,0.5843,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.966305,77.572266,40.98,0.4934,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.959521,77.59957,40.97,0.577,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.969765,77.609215,40.96,0.5775,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.992017,77.593025,40.9,0.67,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.962961,77.60437,40.89,0.6951,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.969183,77.606514,40.87,0.5348,0.8518,0.1251,Moderate
SOUTH BANGALORE,12.914415,77.640015,40.84,0.5194,0.6668,0.4334,Moderate
EAST BANGALORE,12.948614,77.70412,40.84,0.5423,0.6668,0.4334,Moderate
EAST BANGALORE,12.974773,77.64351,40.82,0.4756,0.81,0.1988,Moderate
CENTRAL BANGALORE,12.969765,77.609215,40.82,0.5672,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.993049,77.593544,40.81,0.5605,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.960214,77.597786,40.77,0.5482,0.5408,0.6151,Moderate
NORTH BANGALORE,13.040075,77.59159,40.75,0.5357,0.6798,0.4121,Moderate
SOUTH BANGALORE,12.868072,77.59617,40.74,0.6272,0.6668,0.4334,Moderate
EAST BANGALORE,12.952057,77.70024,40.74,0.6023,0.7412,0.3151,Moderate
CENTRAL BANGALORE,12.969558,77.60706,40.73,0.5403,0.8518,0.1251,Moderate
LOGISTICS / HIGH TRAFFIC ZONES,12.967636,77.57619,40.68,0.4771,0.563,0.5843,Moderate
EAST BANGALORE,12.966185,77.71813,40.65,0.5268,0.5841,0.5556,Moderate
CENTRAL BANGALORE,12.972383,77.60552,40.58,0.6149,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.96509,77.605705,40.56,0.5529,0.7412,0.3151,Moderate
SOUTHEAST / IT CORRIDOR,12.914276,77.6298,40.54,0.651,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.969479,77.60924,40.52,0.5788,0.8518,0.1251,Moderate
EAST BANGALORE,12.954292,77.69456,40.48,0.5205,0.5408,0.6151,Moderate
SOUTHEAST / IT CORRIDOR,12.922636,77.61652,40.48,0.5964,0.6522,0.4557,Moderate
CENTRAL BANGALORE,12.96849,77.60872,40.47,0.5991,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.963592,77.56722,40.46,0.5993,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.97356,77.607735,40.46,0.6115,0.8518,0.1251,Moderate
CENTRAL BANGALORE,12.968474,77.60929,40.45,0.5589,0.8518,0.1251,Moderate
EAST BANGALORE,12.952632,77.70358,40.44,0.5081,0.7412,0.3151,Moderate
EAST BANGALORE,12.94106,77.70185,40.42,0.57,0.5981,0.5286,Moderate
CENTRAL BANGALORE,12.965323,77.58026,40.42,0.5707,0.5635,0.5843,Moderate
NORTH BANGALORE,13.039809,77.62417,40.42,0.5237,0.5787,0.5556,Moderate
EAST BANGALORE,12.954656,77.721016,40.42,0.5138,0.5326,0.6151,Moderate
CENTRAL BANGALORE,12.967803,77.60928,40.37,0.5773,0.8356,0.1538,Moderate
EAST BANGALORE,12.954517,77.69878,40.36,0.585,0.6522,0.4557,Moderate
WEST BANGALORE,12.996594,77.54485,40.33,0.6012,0.6205,0.5031,Moderate
SOUTH BANGALORE,12.869367,77.5947,40.32,0.6339,0.6668,0.4334,Moderate
SOUTH BANGALORE,12.868259,77.59651,40.3,0.5978,0.6668,0.4334,Moderate
EAST BANGALORE,12.974034,77.63934,40.28,0.4736,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.968182,77.60635,40.23,0.5512,0.8356,0.1538,Moderate
CENTRAL BANGALORE,12.965414,77.60599,40.16,0.6537,0.7823,0.2464,Moderate
CENTRAL BANGALORE,12.966465,77.581665,40.16,0.6172,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.969031,77.60811,40.15,0.5292,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.92323,77.622444,40.14,0.5492,0.7064,0.3715,Moderate
SOUTHEAST / IT CORRIDOR,12.923875,77.67416,40.14,0.594,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.985437,77.61354,40.13,0.63,0.6368,0.4788,Moderate
CENTRAL BANGALORE,12.956573,77.58807,40.12,0.6081,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.993991,77.59285,40.11,0.5691,0.5408,0.6151,Moderate
CENTRAL BANGALORE,12.963355,77.56417,40.11,0.6117,0.5155,0.6486,Moderate
CENTRAL BANGALORE,12.970457,77.58318,40.09,0.6384,0.5635,0.5843,Moderate
CENTRAL BANGALORE,12.978197,77.62971,40.06,0.5531,0.6938,0.3914,Moderate
EAST BANGALORE,12.978966,77.64295,40.04,0.5049,0.801,0.2143,Moderate
CENTRAL BANGALORE,12.968004,77.58211,40.03,0.6308,0.6029,0.5286,Moderate
CENTRAL BANGALORE,12.970281,77.60911,40.01,0.5641,0.8518,0.1251,Moderate
SOUTHEAST / IT CORRIDOR,12.917176,77.645164,39.99,0.5424,0.6368,0.4788,Low
CENTRAL BANGALORE,12.978139,77.62999,39.98,0.5896,0.6938,0.3914,Low
CENTRAL BANGALORE,12.96903,77.60762,39.96,0.5683,0.8518,0.1251,Low
EAST BANGALORE,12.96809,77.64075,39.95,0.6375,0.6522,0.4557,Low
EAST BANGALORE,12.967759,77.644875,39.91,0.6426,0.6029,0.5286,Low
CENTRAL BANGALORE,12.967067,77.602554,39.89,0.579,0.7823,0.2464,Low
CENTRAL BANGALORE,12.96985,77.60856,39.87,0.5515,0.8518,0.1251,Low
SOUTHEAST / IT CORRIDOR,12.930037,77.63047,39.87,0.4937,0.5841,0.5556,Low
CENTRAL BANGALORE,12.991233,77.60793,39.86,0.6616,0.6368,0.4788,Low
CENTRAL BANGALORE,12.971184,77.61588,39.86,0.6516,0.6938,0.3914,Low
CENTRAL BANGALORE,12.957005,77.58971,39.84,0.5721,0.5408,0.6151,Low
CENTRAL BANGALORE,12.973774,77.608,39.83,0.5753,0.8518,0.1251,Low
CENTRAL BANGALORE,12.957709,77.585144,39.83,0.5977,0.5408,0.6151,Low
SOUTHEAST / IT CORRIDOR,12.919759,77.60589,39.78,0.5867,0.5635,0.5843,Low
CENTRAL BANGALORE,12.950849,77.60105,39.77,0.6954,0.5635,0.5843,Low
CENTRAL BANGALORE,12.963405,77.605835,39.7,0.6018,0.6522,0.4557,Low
CENTRAL BANGALORE,13.052111,77.62019,39.64,0.5578,0.5841,0.5556,Low
SOUTHEAST / IT CORRIDOR,12.917232,77.61726,39.63,0.5181,0.5841,0.5556,Low
CENTRAL BANGALORE,12.967512,77.60501,39.62,0.6047,0.8188,0.1835,Low
CENTRAL BANGALORE,12.967817,77.60998,39.6,0.6323,0.8518,0.1251,Low
CENTRAL BANGALORE,12.966812,77.60086,39.59,0.609,0.6668,0.4334,Low
CENTRAL BANGALORE,12.958342,77.577126,39.58,0.6724,0.6668,0.4334,Low
CENTRAL BANGALORE,12.957696,77.58659,39.58,0.6409,0.5408,0.6151,Low
CENTRAL BANGALORE,12.995715,77.58927,39.58,0.6183,0.5408,0.6151,Low
CENTRAL BANGALORE,12.957179,77.58799,39.56,0.5698,0.5408,0.6151,Low
SOUTHEAST / IT CORRIDOR,12.929327,77.629555,39.56,0.5754,0.6522,0.4557,Low
CENTRAL BANGALORE,12.96954,77.60904,39.53,0.5435,0.8518,0.1251,Low
CENTRAL BANGALORE,12.969706,77.59802,39.49,0.626,0.6668,0.4334,Low
